date,equity,daily_pnl,drawdown,source
2026-04-24,-93782.1299,-93782.1299,-93782.1299,cashflow_activity
2026-04-25,-211115.8448,-117333.7149,-211115.8448,cashflow_activity
2026-04-26,-8645.4095,202470.4353,-8645.4095,cashflow_activity
2026-04-27,-60784.3007,-52138.8912,-60784.3007,cashflow_activity
2026-04-28,-209846.2729,-149061.9721,-209846.2729,cashflow_activity
2026-04-29,-210640.7766,-794.5037,-210640.7766,cashflow_activity
2026-04-30,-210531.7774,108.9992,-210531.7774,cashflow_activity
2026-05-04,-317284.5338,-106752.7564,-317284.5338,cashflow_activity
2026-05-05,-1248741.2218,-931456.6881,-1248741.2218,cashflow_activity
2026-05-06,-856306.2606,392434.9613,-856306.2606,cashflow_activity
2026-05-07,-826491.5251,29814.7355,-826491.5251,cashflow_activity
