date,equity,daily_pnl,drawdown,source
2026-02-03,45608.025,45608.025,0.0,closed_positions
2026-02-04,57009.4187,11401.3937,0.0,closed_positions
2026-02-05,47800.9914,-9208.4273,-9208.4273,closed_positions
2026-02-06,138832.5343,91031.5429,0.0,closed_positions
2026-02-07,133480.8676,-5351.6667,-5351.6667,closed_positions
2026-02-08,-17951.0581,-151431.9257,-156783.5924,closed_positions
2026-02-09,49255.4148,67206.4729,-89577.1195,closed_positions
2026-02-10,48939.4341,-315.9807,-89893.1002,closed_positions
2026-02-11,-86372.2287,-135311.6628,-225204.763,closed_positions
2026-02-13,-15921.7008,70450.5279,-154754.2351,closed_positions
2026-02-14,-29953.8178,-14032.117,-168786.3521,closed_positions
2026-02-15,-46677.5427,-16723.7249,-185510.077,closed_positions
2026-02-16,97214.7962,143892.3389,-41617.7381,closed_positions
2026-02-17,190059.8831,92845.0869,0.0,closed_positions
2026-02-18,196616.209,6556.3259,0.0,closed_positions
2026-02-19,164741.0164,-31875.1926,-31875.1926,closed_positions
2026-02-20,156049.4555,-8691.5609,-40566.7535,closed_positions
2026-02-21,123088.3488,-32961.1067,-73527.8602,closed_positions
2026-02-22,125983.965,2895.6162,-70632.244,closed_positions
2026-02-23,115449.0852,-10534.8798,-81167.1238,closed_positions
2026-02-24,126334.0353,10884.9501,-70282.1737,closed_positions
2026-02-25,13051.6654,-113282.3699,-183564.5436,closed_positions
2026-02-26,201479.9916,188428.3262,0.0,closed_positions
2026-02-27,238990.8335,37510.8419,0.0,closed_positions
2026-02-28,256876.4368,17885.6033,0.0,closed_positions
2026-03-01,321053.5407,64177.1039,0.0,closed_positions
2026-03-02,174543.005,-146510.5357,-146510.5357,closed_positions
2026-03-03,92348.0249,-82194.9801,-228705.5158,closed_positions
2026-03-04,67466.517,-24881.5079,-253587.0237,closed_positions
2026-03-05,106528.4986,39061.9816,-214525.0421,closed_positions
2026-03-07,150073.44,43544.9414,-170980.1007,closed_positions
2026-03-08,166610.404,16536.964,-154443.1367,closed_positions
2026-03-09,240589.6245,73979.2205,-80463.9162,closed_positions
2026-03-10,260191.1454,19601.5209,-60862.3953,closed_positions
2026-03-11,225239.7643,-34951.3811,-95813.7764,closed_positions
2026-03-12,255688.3678,30448.6035,-65365.1729,closed_positions
2026-03-13,263769.962,8081.5942,-57283.5787,closed_positions
2026-03-14,197241.6331,-66528.3289,-123811.9076,closed_positions
2026-03-15,203239.9367,5998.3036,-117813.604,closed_positions
2026-03-16,230567.7427,27327.806,-90485.798,closed_positions
2026-03-17,237533.8177,6966.075,-83519.723,closed_positions
2026-03-18,227533.7377,-10000.08,-93519.803,closed_positions
2026-03-19,207318.8595,-20214.8782,-113734.6812,closed_positions
2026-03-20,226838.2038,19519.3443,-94215.3369,closed_positions
2026-03-21,248640.0235,21801.8197,-72413.5172,closed_positions
2026-03-22,236305.9258,-12334.0977,-84747.6149,closed_positions
2026-03-23,251465.3403,15159.4145,-69588.2004,closed_positions
2026-03-24,261508.7782,10043.4379,-59544.7625,closed_positions
2026-03-25,268297.4854,6788.7072,-52756.0553,closed_positions
2026-03-26,276973.6559,8676.1705,-44079.8848,closed_positions
2026-03-27,330730.8429,53757.187,0.0,closed_positions
2026-03-28,322691.1589,-8039.684,-8039.684,closed_positions
2026-03-29,345467.934,22776.7751,0.0,closed_positions
2026-03-30,349205.3811,3737.4471,0.0,closed_positions
2026-04-02,417122.0505,67916.6694,0.0,closed_positions
2026-04-03,407713.0935,-9408.957,-9408.957,closed_positions
2026-04-04,485618.8857,77905.7922,0.0,closed_positions
2026-04-05,496152.6811,10533.7954,0.0,closed_positions
2026-04-06,534448.5773,38295.8962,0.0,closed_positions
2026-04-07,551477.4181,17028.8408,0.0,closed_positions
2026-04-08,583854.4464,32377.0283,0.0,closed_positions
2026-04-09,571684.7247,-12169.7217,-12169.7217,closed_positions
2026-04-10,612515.9332,40831.2085,0.0,closed_positions
2026-04-11,535421.1004,-77094.8328,-77094.8328,closed_positions
2026-04-12,602073.265,66652.1646,-10442.6682,closed_positions
2026-04-13,887383.3873,285310.1223,0.0,closed_positions
2026-04-14,900632.942,13249.5547,0.0,closed_positions
2026-04-15,880260.2416,-20372.7004,-20372.7004,closed_positions
2026-04-16,878136.1591,-2124.0825,-22496.7829,closed_positions
2026-04-17,757594.5692,-120541.5899,-143038.3728,closed_positions
2026-04-18,810113.3778,52518.8086,-90519.5642,closed_positions
2026-04-19,897248.1375,87134.7597,-3384.8045,closed_positions
2026-04-20,1010359.7398,113111.6023,0.0,closed_positions
