date,equity,daily_pnl,drawdown,source
2026-07-17,85181.5308,85181.5308,0.0,closed_positions
2026-07-18,176615.2121,91433.6813,0.0,closed_positions
2026-07-19,195543.713,18928.5009,0.0,closed_positions
2026-07-22,213738.3892,18194.6762,0.0,closed_positions
2026-07-23,399279.7653,185541.3761,0.0,closed_positions
2026-07-24,413618.8432,14339.0779,0.0,closed_positions
2026-07-25,591871.3862,178252.543,0.0,closed_positions
2026-07-26,1025799.4965,433928.1103,0.0,closed_positions
2026-07-29,1225538.5132,199739.0167,0.0,closed_positions
2026-07-30,1335743.9805,110205.4673,0.0,closed_positions
2026-08-02,1568187.3606,232443.3801,0.0,closed_positions
2026-08-09,1780362.1519,212174.7913,0.0,closed_positions
2026-08-10,1900705.6045,120343.4526,0.0,closed_positions
2026-08-12,2141607.2793,240901.6748,0.0,closed_positions
2026-08-15,2386993.6324,245386.3531,0.0,closed_positions
2026-08-16,2422784.5763,35790.9439,0.0,closed_positions
2026-08-17,3325050.0369,902265.4606,0.0,closed_positions
2026-08-23,3581052.072,256002.0351,0.0,closed_positions
