date,equity,daily_pnl,drawdown,source
2026-01-16,-121.9195,-121.9195,-121.9195,cashflow_activity
2026-01-17,93.5564,215.476,0.0,cashflow_activity
2026-01-18,141.5396,47.9832,0.0,cashflow_activity
2026-01-19,159.2224,17.6827,0.0,cashflow_activity
2026-01-20,-116.0832,-275.3056,-275.3056,cashflow_activity
2026-01-21,-102.2262,13.857,-261.4485,cashflow_activity
2026-01-22,-78.5971,23.6291,-237.8194,cashflow_activity
2026-01-23,-27.1452,51.4519,-186.3676,cashflow_activity
2026-01-24,-106.3381,-79.1929,-265.5605,cashflow_activity
2026-01-25,73.1701,179.5082,-86.0522,cashflow_activity
2026-01-26,-292.7678,-365.9379,-451.9901,cashflow_activity
2026-01-27,-266.4523,26.3155,-425.6747,cashflow_activity
2026-01-28,-272.9447,-6.4924,-432.167,cashflow_activity
2026-01-29,-347.7432,-74.7985,-506.9656,cashflow_activity
2026-01-30,-311.4423,36.3009,-470.6647,cashflow_activity
2026-01-31,-332.1048,-20.6624,-491.3271,cashflow_activity
2026-02-01,-352.6433,-20.5385,-511.8656,cashflow_activity
2026-02-02,-115.5997,237.0435,-274.8221,cashflow_activity
2026-02-03,0.9444,116.5442,-158.2779,cashflow_activity
2026-02-04,210.3729,209.4285,0.0,cashflow_activity
2026-02-05,368.139,157.766,0.0,cashflow_activity
2026-02-06,58.6469,-309.492,-309.492,cashflow_activity
2026-02-07,285.9741,227.3272,-82.1649,cashflow_activity
2026-02-08,693.4186,407.4445,0.0,cashflow_activity
2026-02-09,445.181,-248.2375,-248.2375,cashflow_activity
2026-02-10,1122.414,677.2329,0.0,cashflow_activity
2026-02-11,1773.5086,651.0946,0.0,cashflow_activity
2026-02-12,4546.4598,2772.9512,0.0,cashflow_activity
2026-02-13,4275.6135,-270.8463,-270.8463,cashflow_activity
2026-02-14,4741.9284,466.3149,0.0,cashflow_activity
2026-02-15,5236.6632,494.7348,0.0,cashflow_activity
2026-02-16,4834.9887,-401.6744,-401.6744,cashflow_activity
2026-02-17,5227.5236,392.5348,-9.1396,cashflow_activity
2026-02-18,5034.0584,-193.4652,-202.6048,cashflow_activity
2026-02-19,4143.6176,-890.4408,-1093.0456,cashflow_activity
2026-02-20,3800.35,-343.2676,-1436.3132,cashflow_activity
2026-02-21,4789.0105,988.6605,-447.6526,cashflow_activity
