date,equity,daily_pnl,drawdown,source
2026-01-16,-121.8612,-121.8612,-121.8612,closed_positions
2026-01-17,92.8779,214.7391,0.0,closed_positions
2026-01-18,13.1237,-79.7542,-79.7542,closed_positions
2026-01-19,252.0406,238.9169,0.0,closed_positions
2026-01-20,-28.2272,-280.2678,-280.2678,closed_positions
2026-01-21,-127.1442,-98.917,-379.1848,closed_positions
2026-01-22,-95.4608,31.6834,-347.5014,closed_positions
2026-01-23,106.5927,202.0535,-145.4479,closed_positions
2026-01-24,39.7321,-66.8606,-212.3085,closed_positions
2026-01-25,33.7396,-5.9925,-218.301,closed_positions
2026-01-26,-185.5342,-219.2738,-437.5748,closed_positions
2026-01-27,-180.4938,5.0404,-432.5344,closed_positions
2026-01-28,-197.1108,-16.617,-449.1514,closed_positions
2026-01-29,-314.9174,-117.8066,-566.958,closed_positions
2026-01-30,-308.5102,6.4072,-560.5508,closed_positions
2026-01-31,-347.1009,-38.5907,-599.1415,closed_positions
2026-02-01,-316.0153,31.0856,-568.0559,closed_positions
2026-02-02,-155.6489,160.3664,-407.6895,closed_positions
2026-02-03,-11.4227,144.2262,-263.4633,closed_positions
2026-02-04,195.2346,206.6573,-56.806,closed_positions
2026-02-05,353.03,157.7954,0.0,closed_positions
2026-02-06,113.5393,-239.4907,-239.4907,closed_positions
2026-02-07,435.5093,321.97,0.0,closed_positions
2026-02-08,873.7446,438.2353,0.0,closed_positions
2026-02-09,430.1898,-443.5548,-443.5548,closed_positions
2026-02-10,1096.5927,666.4029,0.0,closed_positions
2026-02-11,1954.2959,857.7032,0.0,closed_positions
2026-02-12,4641.6407,2687.3448,0.0,closed_positions
2026-02-13,4264.9723,-376.6684,-376.6684,closed_positions
2026-02-14,4730.5088,465.5365,0.0,closed_positions
2026-02-15,4781.9353,51.4265,0.0,closed_positions
2026-02-16,4893.0643,111.129,0.0,closed_positions
2026-02-17,5219.2563,326.192,0.0,closed_positions
2026-02-18,5024.5961,-194.6602,-194.6602,closed_positions
2026-02-19,4128.4119,-896.1842,-1090.8444,closed_positions
2026-02-20,3767.1625,-361.2494,-1452.0938,closed_positions
2026-02-21,4753.8656,986.7031,-465.3907,closed_positions
