date,equity,daily_pnl,drawdown,source
2025-06-23,0.0,0.0,0.0,cashflow_activity
2025-06-25,-2772.5922,-2772.5922,-2772.5922,cashflow_activity
2025-06-26,-10.4048,2762.1874,-10.4048,cashflow_activity
2025-06-27,1844.3605,1854.7652,0.0,cashflow_activity
2025-06-28,-136.8507,-1981.2112,-1981.2112,cashflow_activity
2025-06-29,3668.2977,3805.1484,0.0,cashflow_activity
2025-07-01,3802.1841,133.8864,0.0,cashflow_activity
2025-07-03,3198.7341,-603.45,-603.45,cashflow_activity
2025-07-04,1862.2222,-1336.5119,-1939.9619,cashflow_activity
2025-07-06,2759.9852,897.7631,-1042.1988,cashflow_activity
2025-07-08,1694.4022,-1065.5831,-2107.7819,cashflow_activity
2025-07-09,1694.4022,0.0,-2107.7819,cashflow_activity
2025-07-14,1694.4022,0.0,-2107.7819,cashflow_activity
2025-07-17,1692.0522,-2.35,-2110.1319,cashflow_activity
2025-07-19,-1226.6394,-2918.6916,-5028.8235,cashflow_activity
2025-08-25,2996.9579,4223.5973,-805.2262,cashflow_activity
2025-08-26,2996.9579,0.0,-805.2262,cashflow_activity
2025-08-30,-7347.4239,-10344.3818,-11149.608,cashflow_activity
2025-09-01,12920.1277,20267.5516,0.0,cashflow_activity
2025-09-02,1470.4645,-11449.6632,-11449.6632,cashflow_activity
2025-09-04,-52339.6325,-53810.097,-65259.7602,cashflow_activity
2025-09-05,-95675.4631,-43335.8306,-108595.5908,cashflow_activity
2025-09-06,-138587.5741,-42912.111,-151507.7018,cashflow_activity
2025-09-07,-259675.6172,-121088.0431,-272595.7449,cashflow_activity
2025-09-08,-138041.6989,121633.9184,-150961.8266,cashflow_activity
2025-09-09,-296619.2954,-158577.5965,-309539.4231,cashflow_activity
2025-09-10,-296620.7954,-1.5,-309540.9231,cashflow_activity
2025-09-11,-296135.6454,485.15,-309055.7731,cashflow_activity
2025-09-12,-325407.4676,-29271.8222,-338327.5953,cashflow_activity
2025-09-13,-312319.6542,13087.8134,-325239.7819,cashflow_activity
2025-09-14,-371691.2512,-59371.5971,-384611.3789,cashflow_activity
2025-09-15,-336283.363,35407.8883,-349203.4907,cashflow_activity
2025-09-16,-323514.0901,12769.2729,-336434.2178,cashflow_activity
2025-09-19,-329417.7639,-5903.6738,-342337.8916,cashflow_activity
2025-09-21,-412640.4079,-83222.644,-425560.5356,cashflow_activity
2025-09-22,-286582.3524,126058.0555,-299502.4801,cashflow_activity
2025-09-23,-329702.1381,-43119.7857,-342622.2658,cashflow_activity
2025-09-26,-328440.1536,1261.9845,-341360.2813,cashflow_activity
2025-09-28,-457839.3426,-129399.1889,-470759.4703,cashflow_activity
2025-09-29,-296319.177,161520.1656,-309239.3047,cashflow_activity
2025-09-30,-300993.6162,-4674.4392,-313913.7439,cashflow_activity
2025-10-04,-302444.3004,-1450.6842,-315364.4281,cashflow_activity
2025-10-05,-446464.7949,-144020.4945,-459384.9226,cashflow_activity
2025-10-06,-41523.0242,404941.7707,-54443.1519,cashflow_activity
2025-10-07,-42873.221,-1350.1968,-55793.3487,cashflow_activity
2025-10-08,-47831.3961,-4958.1751,-60751.5238,cashflow_activity
2025-10-09,-41639.5176,6191.8785,-54559.6453,cashflow_activity
2025-10-10,-167378.6472,-125739.1296,-180298.7749,cashflow_activity
2025-10-11,171293.3645,338672.0117,0.0,cashflow_activity
2025-10-12,-37353.831,-208647.1955,-208647.1955,cashflow_activity
2025-10-13,192531.4634,229885.2944,0.0,cashflow_activity
2025-10-14,-18678.7216,-211210.185,-211210.185,cashflow_activity
2025-10-15,-12720.5513,5958.1703,-205252.0147,cashflow_activity
2025-10-16,-382150.0905,-369429.5392,-574681.5539,cashflow_activity
2025-10-17,109790.951,491941.0415,-82740.5124,cashflow_activity
2025-10-18,31747.2467,-78043.7043,-160784.2167,cashflow_activity
2025-10-19,-134847.5767,-166594.8234,-327379.0401,cashflow_activity
2025-10-20,-286335.1565,-151487.5798,-478866.6199,cashflow_activity
2025-10-21,5406.6137,291741.7702,-187124.8497,cashflow_activity
2025-10-22,-293047.9132,-298454.5269,-485579.3766,cashflow_activity
2025-10-23,-306566.8462,-13518.933,-499098.3096,cashflow_activity
2025-10-24,-230223.8646,76342.9816,-422755.328,cashflow_activity
2025-10-25,-389713.7853,-159489.9208,-582245.2487,cashflow_activity
2025-10-26,-297798.3137,91915.4717,-490329.7771,cashflow_activity
2025-10-27,-303547.0424,-5748.7288,-496078.5058,cashflow_activity
2025-10-28,-93360.3528,210186.6897,-285891.8162,cashflow_activity
2025-10-29,-505480.1875,-412119.8347,-698011.6509,cashflow_activity
2025-10-30,-555890.1316,-50409.9442,-748421.5951,cashflow_activity
2025-10-31,-479336.6636,76553.4681,-671868.127,cashflow_activity
2025-11-01,-545516.7155,-66180.0519,-738048.1789,cashflow_activity
2025-11-02,-662899.6417,-117382.9263,-855431.1052,cashflow_activity
2025-11-03,-407994.0358,254905.6059,-600525.4992,cashflow_activity
2025-11-04,-416447.3919,-8453.3561,-608978.8553,cashflow_activity
2025-11-05,-334622.33,81825.062,-527153.7934,cashflow_activity
2025-11-06,-515761.5276,-181139.1977,-708292.9911,cashflow_activity
2025-11-07,-438721.6396,77039.8881,-631253.103,cashflow_activity
2025-11-08,-555932.2125,-117210.5729,-748463.6759,cashflow_activity
2025-11-09,-546549.1052,9383.1073,-739080.5686,cashflow_activity
2025-11-10,-416146.3747,130402.7305,-608677.8381,cashflow_activity
2025-11-11,-341190.6653,74955.7094,-533722.1287,cashflow_activity
2025-11-12,34196.6393,375387.3045,-158334.8241,cashflow_activity
2025-11-13,-70798.879,-104995.5183,-263330.3424,cashflow_activity
2025-11-14,-244800.03,-174001.151,-437331.4934,cashflow_activity
2025-11-15,-177337.2677,67462.7624,-369868.7311,cashflow_activity
