date,equity,daily_pnl,drawdown,source
2025-06-25,-610.7862,-610.7862,-610.7862,closed_positions
2025-06-26,1356.9861,1967.7723,0.0,closed_positions
2025-06-27,1844.4401,487.454,0.0,closed_positions
2025-06-29,3668.3909,1823.9508,0.0,closed_positions
2025-07-01,3802.2899,133.899,0.0,closed_positions
2025-07-04,3248.8404,-553.4495,-553.4495,closed_positions
2025-07-05,2760.1029,-488.7375,-1042.187,closed_positions
2025-07-08,2445.1029,-315.0,-1357.187,closed_positions
2025-07-09,3897.439,1452.3361,0.0,closed_positions
2025-07-18,3895.089,-2.35,-2.35,closed_positions
2025-07-20,2997.0982,-897.9908,-900.3408,closed_positions
2025-08-30,12935.8179,9938.7197,0.0,closed_positions
2025-09-01,12931.418,-4.3999,-4.3999,closed_positions
2025-09-02,12945.268,13.85,0.0,closed_positions
2025-09-03,23537.2648,10591.9968,0.0,closed_positions
2025-09-05,-76677.4767,-100214.7415,-100214.7415,closed_positions
2025-09-06,-86515.585,-9838.1083,-110052.8498,closed_positions
2025-09-07,-197855.8599,-111340.2749,-221393.1247,closed_positions
2025-09-08,-138002.6365,59853.2234,-161539.9013,closed_positions
2025-09-09,-296063.1213,-158060.4848,-319600.3861,closed_positions
2025-09-12,-312264.2269,-16201.1056,-335801.4917,closed_positions
2025-09-14,-348216.5695,-35952.3426,-371753.8343,closed_positions
2025-09-15,-314402.1131,33814.4564,-337939.3779,closed_positions
2025-09-16,-323452.2512,-9050.1381,-346989.516,closed_positions
2025-09-19,-329355.4461,-5903.1949,-352892.7109,closed_positions
2025-09-21,-314624.8566,14730.5895,-338162.1214,closed_positions
2025-09-22,-292210.0804,22414.7762,-315747.3452,closed_positions
2025-09-23,-335328.0347,-43117.9543,-358865.2995,closed_positions
2025-09-26,-334065.6216,1262.4131,-357602.8864,closed_positions
2025-09-28,-312874.1668,21191.4548,-336411.4316,closed_positions
2025-09-29,-281712.2028,31161.964,-305249.4676,closed_positions
2025-09-30,-307955.6485,-26243.4457,-331492.9133,closed_positions
2025-10-05,-282775.9485,25179.7,-306313.2133,closed_positions
2025-10-06,18691.6859,301467.6344,-4845.5789,closed_positions
2025-10-07,-39950.3995,-58642.0854,-63487.6643,closed_positions
2025-10-08,-53080.5895,-13130.19,-76617.8543,closed_positions
2025-10-09,-47008.0465,6072.543,-70545.3113,closed_positions
2025-10-10,-16172.9086,30835.1379,-39710.1734,closed_positions
2025-10-11,166481.0287,182653.9373,0.0,closed_positions
2025-10-12,231358.2443,64877.2156,0.0,closed_positions
2025-10-13,312863.6812,81505.4369,0.0,closed_positions
2025-10-14,378214.8975,65351.2163,0.0,closed_positions
2025-10-15,654059.0929,275844.1954,0.0,closed_positions
2025-10-16,-30712.1752,-684771.2681,-684771.2681,closed_positions
2025-10-17,153667.8857,184380.0609,-500391.2072,closed_positions
2025-10-18,140875.8222,-12792.0635,-513183.2707,closed_positions
2025-10-19,183038.3688,42162.5466,-471020.7241,closed_positions
2025-10-20,-90330.0975,-273368.4663,-744389.1904,closed_positions
2025-10-21,-4437.9493,85892.1482,-658497.0422,closed_positions
2025-10-22,-21322.8876,-16884.9383,-675381.9805,closed_positions
2025-10-23,-2099.6436,19223.244,-656158.7365,closed_positions
2025-10-24,63405.6207,65505.2643,-590653.4722,closed_positions
2025-10-25,51011.2772,-12394.3435,-603047.8157,closed_positions
