date,equity,daily_pnl,drawdown,source
2026-03-12,194.7292,194.7292,0.0,closed_positions
2026-03-13,217.9585,23.2293,0.0,closed_positions
2026-03-14,409.6966,191.7381,0.0,closed_positions
2026-03-15,506.4741,96.7775,0.0,closed_positions
2026-03-16,510.3907,3.9166,0.0,closed_positions
2026-03-17,515.2901,4.8994,0.0,closed_positions
2026-03-18,1532.2963,1017.0062,0.0,closed_positions
2026-03-19,1653.7402,121.4439,0.0,closed_positions
2026-03-20,1872.5283,218.7881,0.0,closed_positions
2026-03-21,2509.6331,637.1048,0.0,closed_positions
2026-03-22,2623.3779,113.7448,0.0,closed_positions
2026-03-23,2715.3408,91.9629,0.0,closed_positions
2026-03-25,2756.3326,40.9918,0.0,closed_positions
2026-03-26,3325.5816,569.249,0.0,closed_positions
2026-03-27,3821.2462,495.6646,0.0,closed_positions
2026-03-28,3971.5742,150.328,0.0,closed_positions
2026-03-29,4076.0289,104.4547,0.0,closed_positions
2026-03-30,4158.3024,82.2735,0.0,closed_positions
2026-03-31,4543.3032,385.0008,0.0,closed_positions
2026-04-01,4920.7536,377.4504,0.0,closed_positions
2026-04-02,5335.1078,414.3542,0.0,closed_positions
2026-04-03,6107.5524,772.4446,0.0,closed_positions
2026-04-04,7374.0115,1266.4591,0.0,closed_positions
2026-04-05,9900.8583,2526.8468,0.0,closed_positions
2026-04-06,11180.8604,1280.0021,0.0,closed_positions
2026-04-07,11424.4773,243.6169,0.0,closed_positions
2026-04-08,10756.5608,-667.9165,-667.9165,closed_positions
2026-04-09,11298.2131,541.6523,-126.2642,closed_positions
2026-04-10,11905.3937,607.1806,0.0,closed_positions
2026-04-11,15391.0934,3485.6997,0.0,closed_positions
2026-04-12,17890.7088,2499.6154,0.0,closed_positions
2026-04-13,18086.5439,195.8351,0.0,closed_positions
2026-04-14,18142.6603,56.1164,0.0,closed_positions
2026-04-15,19836.7172,1694.0569,0.0,closed_positions
2026-04-16,21163.5701,1326.8529,0.0,closed_positions
2026-04-17,22102.8027,939.2326,0.0,closed_positions
2026-04-18,22763.5571,660.7544,0.0,closed_positions
2026-04-19,24360.5961,1597.039,0.0,closed_positions
2026-04-20,24445.9384,85.3423,0.0,closed_positions
2026-04-21,24398.2223,-47.7161,-47.7161,closed_positions
2026-04-22,23098.0272,-1300.1951,-1347.9112,closed_positions
2026-04-23,23515.5709,417.5437,-930.3675,closed_positions
2026-04-24,24322.3557,806.7848,-123.5827,closed_positions
2026-04-25,24071.0685,-251.2872,-374.8699,closed_positions
2026-04-26,25361.8914,1290.8229,0.0,closed_positions
2026-04-27,25733.0953,371.2039,0.0,closed_positions
2026-04-28,26183.2755,450.1802,0.0,closed_positions
2026-04-29,26260.6104,77.3349,0.0,closed_positions
