date,equity,daily_pnl,drawdown,source
2025-07-25,0.0,0.0,0.0,cashflow_activity
2025-08-07,-36.7508,-36.7508,-36.7508,cashflow_activity
2025-08-08,-17.9648,18.786,-17.9648,cashflow_activity
2025-08-11,-7.9648,10.0,-7.9648,cashflow_activity
2025-08-12,-8.7708,-0.806,-8.7708,cashflow_activity
2025-08-13,-25.7677,-16.9969,-25.7677,cashflow_activity
2025-08-20,-74.2672,-48.4995,-74.2672,cashflow_activity
2025-08-21,-62.3672,11.9,-62.3672,cashflow_activity
2025-08-29,-62.3672,0.0,-62.3672,cashflow_activity
2025-09-09,-867.8632,-805.4959,-867.8632,cashflow_activity
2025-09-10,-3873.7778,-3005.9146,-3873.7778,cashflow_activity
2025-09-11,-6244.1171,-2370.3393,-6244.1171,cashflow_activity
2025-09-12,865.9248,7110.0419,0.0,cashflow_activity
2025-09-16,827.8415,-38.0833,-38.0833,cashflow_activity
2025-09-17,837.8415,10.0,-28.0833,cashflow_activity
2025-09-19,819.0815,-18.76,-46.8433,cashflow_activity
2025-09-25,-4176.8016,-4995.883,-5042.7264,cashflow_activity
2025-09-26,-9779.4705,-5602.6689,-10645.3953,cashflow_activity
2025-09-27,-17605.5068,-7826.0363,-18471.4316,cashflow_activity
2025-09-28,-18636.2568,-1030.75,-19502.1816,cashflow_activity
2025-10-01,1096.321,19732.5778,0.0,cashflow_activity
2025-10-02,1046.321,-50.0,-50.0,cashflow_activity
2025-10-03,276.4894,-769.8316,-819.8316,cashflow_activity
2025-10-05,-82.1819,-358.6712,-1178.5029,cashflow_activity
2025-10-06,362.7529,444.9348,-733.5681,cashflow_activity
2025-10-07,-4124.6994,-4487.4523,-5221.0203,cashflow_activity
2025-10-08,-57847.9558,-53723.2565,-58944.2768,cashflow_activity
2025-10-09,-120004.6995,-62156.7436,-121101.0205,cashflow_activity
2025-10-10,-65512.0813,54492.6182,-66608.4023,cashflow_activity
2025-10-11,-195022.3315,-129510.2502,-196118.6524,cashflow_activity
2025-10-12,-21734.1478,173288.1836,-22830.4688,cashflow_activity
2025-10-13,-179092.0726,-157357.9247,-180188.3936,cashflow_activity
2025-10-14,-391645.6891,-212553.6165,-392742.01,cashflow_activity
2025-10-15,-196470.0016,195175.6874,-197566.3226,cashflow_activity
2025-10-16,-243916.4482,-47446.4466,-245012.7692,cashflow_activity
2025-10-17,-119993.0314,123923.4168,-121089.3524,cashflow_activity
2025-10-18,-442205.385,-322212.3536,-443301.706,cashflow_activity
2025-10-19,-82633.1007,359572.2843,-83729.4217,cashflow_activity
2025-10-20,-56229.3658,26403.7349,-57325.6868,cashflow_activity
2025-10-21,-116256.1294,-60026.7636,-117352.4504,cashflow_activity
2025-10-22,-164067.828,-47811.6985,-165164.149,cashflow_activity
2025-10-23,-109870.651,54197.177,-110966.972,cashflow_activity
2025-10-24,-276346.3493,-166475.6983,-277442.6703,cashflow_activity
2025-10-25,-196771.4815,79574.8677,-197867.8025,cashflow_activity
2025-10-26,-217565.2712,-20793.7896,-218661.5922,cashflow_activity
2025-10-27,-214027.7748,3537.4964,-215124.0958,cashflow_activity
2025-10-28,-107089.1606,106938.6142,-108185.4816,cashflow_activity
2025-10-29,-200884.9746,-93795.814,-201981.2956,cashflow_activity
2025-10-30,-224959.5524,-24074.5778,-226055.8734,cashflow_activity
2025-10-31,-331989.958,-107030.4056,-333086.279,cashflow_activity
2025-11-01,-391654.0547,-59664.0967,-392750.3757,cashflow_activity
2025-11-02,-329665.0984,61988.9563,-330761.4194,cashflow_activity
2025-11-03,-16925.8674,312739.231,-18022.1884,cashflow_activity
2025-11-04,-222636.5371,-205710.6697,-223732.8581,cashflow_activity
2025-11-05,-353260.8109,-130624.2738,-354357.1318,cashflow_activity
2025-11-06,-7418.9354,345841.8755,-8515.2564,cashflow_activity
2025-11-07,-184098.0636,-176679.1282,-185194.3846,cashflow_activity
2025-11-08,-719190.6471,-535092.5835,-720286.9681,cashflow_activity
2025-11-09,-140257.6553,578932.9918,-141353.9763,cashflow_activity
2025-11-10,19806.5722,160064.2275,0.0,cashflow_activity
2025-11-11,-10012.7514,-29819.3235,-29819.3235,cashflow_activity
2025-11-12,-273402.7784,-263390.0271,-293209.3506,cashflow_activity
2025-11-13,-25935.1655,247467.6129,-45741.7377,cashflow_activity
2025-11-14,-11875.4853,14059.6802,-31682.0575,cashflow_activity
2025-11-15,-468025.1842,-456149.6989,-487831.7563,cashflow_activity
2025-11-16,-92020.4771,376004.707,-111827.0493,cashflow_activity
2025-11-17,14708.5565,106729.0337,-5098.0157,cashflow_activity
2025-11-18,76956.3511,62247.7946,0.0,cashflow_activity
2025-11-19,29098.3441,-47858.007,-47858.007,cashflow_activity
2025-11-20,313822.2979,284723.9538,0.0,cashflow_activity
2025-11-21,97527.1507,-216295.1473,-216295.1473,cashflow_activity
2025-11-22,-494562.0006,-592089.1513,-808384.2986,cashflow_activity
2025-11-23,-343556.4656,151005.535,-657378.7636,cashflow_activity
2025-11-24,-192379.9491,151176.5165,-506202.2471,cashflow_activity
2025-11-25,61409.6298,253789.5789,-252412.6682,cashflow_activity
2025-11-26,-63275.9096,-124685.5394,-377098.2076,cashflow_activity
2025-11-27,314981.6981,378257.6078,0.0,cashflow_activity
2025-11-28,115.8261,-314865.872,-314865.872,cashflow_activity
2025-11-29,-84183.6187,-84299.4449,-399165.3169,cashflow_activity
2025-11-30,364775.3143,448958.933,0.0,cashflow_activity
