ts_ms,ts_iso,run_yes_bid,run_yes_ask,run_yes_mid,run_spread_cents,run_yes_bid_qty,run_yes_ask_qty,run_tight_spread,run_wide_spread,run_untradeable,b365_state,fd_state,dk_state
1788284070729,2026-09-01T17:34:30.729000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284070930,2026-09-01T17:34:30.930000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284071131,2026-09-01T17:34:31.131000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284071333,2026-09-01T17:34:31.333000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284071534,2026-09-01T17:34:31.534000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284071734,2026-09-01T17:34:31.734000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284071935,2026-09-01T17:34:31.935000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284072136,2026-09-01T17:34:32.136000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284072337,2026-09-01T17:34:32.337000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284072538,2026-09-01T17:34:32.538000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284072738,2026-09-01T17:34:32.738000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284072939,2026-09-01T17:34:32.939000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284073140,2026-09-01T17:34:33.140000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284073341,2026-09-01T17:34:33.341000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284073541,2026-09-01T17:34:33.541000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284073742,2026-09-01T17:34:33.742000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284073943,2026-09-01T17:34:33.943000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284074144,2026-09-01T17:34:34.144000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284074345,2026-09-01T17:34:34.345000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284074545,2026-09-01T17:34:34.545000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284074747,2026-09-01T17:34:34.747000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284074948,2026-09-01T17:34:34.948000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284075148,2026-09-01T17:34:35.148000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284075349,2026-09-01T17:34:35.349000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284075550,2026-09-01T17:34:35.550000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284075751,2026-09-01T17:34:35.751000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284075952,2026-09-01T17:34:35.952000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284076153,2026-09-01T17:34:36.153000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284076353,2026-09-01T17:34:36.353000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284076554,2026-09-01T17:34:36.554000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284076755,2026-09-01T17:34:36.755000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284076956,2026-09-01T17:34:36.956000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284077157,2026-09-01T17:34:37.157000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284077357,2026-09-01T17:34:37.357000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284077558,2026-09-01T17:34:37.558000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284077759,2026-09-01T17:34:37.759000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284077960,2026-09-01T17:34:37.960000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284078160,2026-09-01T17:34:38.160000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284078361,2026-09-01T17:34:38.361000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284078562,2026-09-01T17:34:38.562000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284078763,2026-09-01T17:34:38.763000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284078963,2026-09-01T17:34:38.963000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284079164,2026-09-01T17:34:39.164000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284079365,2026-09-01T17:34:39.365000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284079566,2026-09-01T17:34:39.566000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284079767,2026-09-01T17:34:39.767000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284079967,2026-09-01T17:34:39.967000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284080168,2026-09-01T17:34:40.168000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284080369,2026-09-01T17:34:40.369000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284080570,2026-09-01T17:34:40.570000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284080771,2026-09-01T17:34:40.771000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284080972,2026-09-01T17:34:40.972000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284081172,2026-09-01T17:34:41.172000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284081373,2026-09-01T17:34:41.373000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284081574,2026-09-01T17:34:41.574000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284081775,2026-09-01T17:34:41.775000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284081976,2026-09-01T17:34:41.976000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284082177,2026-09-01T17:34:42.177000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284082378,2026-09-01T17:34:42.378000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284082579,2026-09-01T17:34:42.579000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284082779,2026-09-01T17:34:42.779000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284082980,2026-09-01T17:34:42.980000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284083181,2026-09-01T17:34:43.181000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284083381,2026-09-01T17:34:43.381000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284083582,2026-09-01T17:34:43.582000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284083783,2026-09-01T17:34:43.783000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284083983,2026-09-01T17:34:43.983000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284084184,2026-09-01T17:34:44.184000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284084385,2026-09-01T17:34:44.385000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284084586,2026-09-01T17:34:44.586000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284084787,2026-09-01T17:34:44.787000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284084988,2026-09-01T17:34:44.988000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284085189,2026-09-01T17:34:45.189000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284085390,2026-09-01T17:34:45.390000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284085590,2026-09-01T17:34:45.590000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284085791,2026-09-01T17:34:45.791000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284085992,2026-09-01T17:34:45.992000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284086192,2026-09-01T17:34:46.192000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284086394,2026-09-01T17:34:46.394000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284086594,2026-09-01T17:34:46.594000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284086795,2026-09-01T17:34:46.795000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284086996,2026-09-01T17:34:46.996000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284087197,2026-09-01T17:34:47.197000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284087397,2026-09-01T17:34:47.397000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284087598,2026-09-01T17:34:47.598000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284087799,2026-09-01T17:34:47.799000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284087999,2026-09-01T17:34:47.999000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284088200,2026-09-01T17:34:48.200000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284088401,2026-09-01T17:34:48.401000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284088602,2026-09-01T17:34:48.602000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284088802,2026-09-01T17:34:48.802000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284089003,2026-09-01T17:34:49.003000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284089203,2026-09-01T17:34:49.203000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284089404,2026-09-01T17:34:49.404000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284089605,2026-09-01T17:34:49.605000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284089806,2026-09-01T17:34:49.806000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284090007,2026-09-01T17:34:50.007000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284090208,2026-09-01T17:34:50.208000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284090409,2026-09-01T17:34:50.409000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284090609,2026-09-01T17:34:50.609000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284090810,2026-09-01T17:34:50.810000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284091011,2026-09-01T17:34:51.011000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284091212,2026-09-01T17:34:51.212000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284091414,2026-09-01T17:34:51.414000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284091614,2026-09-01T17:34:51.614000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284091815,2026-09-01T17:34:51.815000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284092015,2026-09-01T17:34:52.015000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284092216,2026-09-01T17:34:52.216000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284092417,2026-09-01T17:34:52.417000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284092618,2026-09-01T17:34:52.618000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284092819,2026-09-01T17:34:52.819000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284093019,2026-09-01T17:34:53.019000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284093220,2026-09-01T17:34:53.220000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284093421,2026-09-01T17:34:53.421000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284093622,2026-09-01T17:34:53.622000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284093823,2026-09-01T17:34:53.823000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284094024,2026-09-01T17:34:54.024000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284094224,2026-09-01T17:34:54.224000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284094425,2026-09-01T17:34:54.425000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284094626,2026-09-01T17:34:54.626000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284094826,2026-09-01T17:34:54.826000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284095027,2026-09-01T17:34:55.027000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284095228,2026-09-01T17:34:55.228000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284095429,2026-09-01T17:34:55.429000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284095630,2026-09-01T17:34:55.630000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284095830,2026-09-01T17:34:55.830000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284096031,2026-09-01T17:34:56.031000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284096232,2026-09-01T17:34:56.232000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284096433,2026-09-01T17:34:56.433000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284096634,2026-09-01T17:34:56.634000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284096835,2026-09-01T17:34:56.835000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284097035,2026-09-01T17:34:57.035000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284097236,2026-09-01T17:34:57.236000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284097437,2026-09-01T17:34:57.437000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284097638,2026-09-01T17:34:57.638000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284097839,2026-09-01T17:34:57.839000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284098039,2026-09-01T17:34:58.039000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284098240,2026-09-01T17:34:58.240000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284098441,2026-09-01T17:34:58.441000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284098641,2026-09-01T17:34:58.641000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284098842,2026-09-01T17:34:58.842000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284099043,2026-09-01T17:34:59.043000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284099244,2026-09-01T17:34:59.244000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284099444,2026-09-01T17:34:59.444000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284099645,2026-09-01T17:34:59.645000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284099846,2026-09-01T17:34:59.846000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284100047,2026-09-01T17:35:00.047000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284100248,2026-09-01T17:35:00.248000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284100449,2026-09-01T17:35:00.449000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284100649,2026-09-01T17:35:00.649000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284100851,2026-09-01T17:35:00.851000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284101051,2026-09-01T17:35:01.051000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284101252,2026-09-01T17:35:01.252000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284101453,2026-09-01T17:35:01.453000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284101654,2026-09-01T17:35:01.654000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284101855,2026-09-01T17:35:01.855000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284102055,2026-09-01T17:35:02.055000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284102256,2026-09-01T17:35:02.256000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284102457,2026-09-01T17:35:02.457000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284102658,2026-09-01T17:35:02.658000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284102859,2026-09-01T17:35:02.859000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284103060,2026-09-01T17:35:03.060000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284103261,2026-09-01T17:35:03.261000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284103461,2026-09-01T17:35:03.461000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284103662,2026-09-01T17:35:03.662000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284103863,2026-09-01T17:35:03.863000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284104064,2026-09-01T17:35:04.064000+00:00,,,,,0,0,False,False,True,UP,UP,UP
