ts_ms,ts_iso,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-1_yes_bid,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-1_yes_ask,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-1_yes_mid,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-1_spread_cents,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-1_yes_bid_qty,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-1_yes_ask_qty,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-1_tight_spread,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-1_wide_spread,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-1_untradeable,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-2_yes_bid,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-2_yes_ask,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-2_yes_mid,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-2_spread_cents,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-2_yes_bid_qty,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-2_yes_ask_qty,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-2_tight_spread,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-2_wide_spread,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-2_untradeable,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-3_yes_bid,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-3_yes_ask,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-3_yes_mid,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-3_spread_cents,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-3_yes_bid_qty,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-3_yes_ask_qty,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-3_tight_spread,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-3_wide_spread,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-3_untradeable,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-4_yes_bid,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-4_yes_ask,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-4_yes_mid,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-4_spread_cents,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-4_yes_bid_qty,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-4_yes_ask_qty,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-4_tight_spread,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-4_wide_spread,KXEFLCHAMPIONSHIPTOTAL-26SEP01WHUWOL-4_untradeable,b365_state,fd_state,dk_state
1788288810515,2026-09-01T18:53:30.515000+00:00,,,,,0,0,False,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,UP,UP,UP
1788288810744,2026-09-01T18:53:30.744000+00:00,,,,,0,0,False,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,UP,UP,UP
1788288810944,2026-09-01T18:53:30.944000+00:00,0.9400,0.9700,0.9550,3,1497.00,45.00,True,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,UP,UP,UP
1788288811145,2026-09-01T18:53:31.145000+00:00,,,,,0,0,False,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,UP,UP,UP
1788288811346,2026-09-01T18:53:31.346000+00:00,,,,,0,0,False,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,UP,UP,UP
1788288811547,2026-09-01T18:53:31.547000+00:00,,,,,0,0,False,False,True,,,,,0,0,False,False,True,,,,,0,0,False,False,True,0.3200,,0.3200,,248.02,0,False,False,True,UP,UP,UP
1788288811748,2026-09-01T18:53:31.748000+00:00,,,,,0,0,False,False,True,0.7800,,0.7800,,294.48,0,False,False,True,,,,,0,0,False,False,True,0.3200,,0.3200,,248.02,0,False,False,True,UP,UP,UP
1788288811949,2026-09-01T18:53:31.949000+00:00,,,,,0,0,False,False,True,0.7800,,0.7800,,294.48,0,False,False,True,0.2800,,0.2800,,300.00,0,False,False,True,0.3200,,0.3200,,248.02,0,False,False,True,UP,UP,UP
1788288812150,2026-09-01T18:53:32.150000+00:00,,,,,0,0,False,False,True,0.7800,,0.7800,,294.48,0,False,False,True,0.2800,,0.2800,,300.00,0,False,False,True,0.3200,,0.3200,,248.02,0,False,False,True,UP,UP,UP
1788288812351,2026-09-01T18:53:32.351000+00:00,,,,,0,0,False,False,True,0.7800,,0.7800,,294.48,0,False,False,True,0.2800,,0.2800,,300.00,0,False,False,True,0.3200,,0.3200,,248.02,0,False,False,True,UP,UP,UP
1788288812552,2026-09-01T18:53:32.552000+00:00,,,,,0,0,False,False,True,0.7800,,0.7800,,293.48,0,False,False,True,0.2800,,0.2800,,300.00,0,False,False,True,0.3200,,0.3200,,248.02,0,False,False,True,UP,UP,UP
1788288812753,2026-09-01T18:53:32.753000+00:00,0.9100,,0.9100,,2084.00,0,False,False,True,0.7800,0.9500,0.8650,17,293.48,3.75,False,True,True,0.2800,0.8800,0.5800,60,300.00,1750.00,False,True,True,0.3200,0.5100,0.4150,19,248.02,3.75,False,True,True,UP,UP,UP
1788288812955,2026-09-01T18:53:32.955000+00:00,0.9100,,0.9100,,2084.00,0,False,False,True,0.7800,0.9500,0.8650,17,293.48,3.75,False,True,True,0.2800,0.8800,0.5800,60,300.00,1750.00,False,True,True,0.3200,0.5100,0.4150,19,248.02,3.75,False,True,True,UP,UP,UP
